State,Year,rounded_time,num_fatalities_time
ACT,2005,6:00:00 PM,2
ACT,2005,7:00:00 PM,3
ACT,2005,8:00:00 PM,1
ACT,2005,10:00:00 PM,1
ACT,2006,2:00:00 AM,2
ACT,2006,8:00:00 AM,1
ACT,2006,10:00:00 AM,1
ACT,2006,11:00:00 AM,4
ACT,2006,2:00:00 PM,1
ACT,2006,4:00:00 PM,1
ACT,2006,5:00:00 PM,1
ACT,2006,6:00:00 PM,1
ACT,2006,9:00:00 PM,1
ACT,2007,1:00:00 AM,1
ACT,2007,3:00:00 AM,2
ACT,2007,8:00:00 AM,1
ACT,2007,9:00:00 AM,1
ACT,2007,11:00:00 AM,2
ACT,2007,12:00:00 PM,1
ACT,2007,4:00:00 PM,1
ACT,2007,6:00:00 PM,1
ACT,2007,7:00:00 PM,3
ACT,2007,9:00:00 PM,1
ACT,2008,1:00:00 AM,1
ACT,2008,3:00:00 AM,2
ACT,2008,4:00:00 AM,1
ACT,2008,7:00:00 AM,1
ACT,2008,11:00:00 AM,1
ACT,2008,12:00:00 PM,1
ACT,2008,3:00:00 PM,1
ACT,2008,4:00:00 PM,2
ACT,2008,6:00:00 PM,2
ACT,2008,8:00:00 PM,1
ACT,2008,11:00:00 PM,1
ACT,2009,1:00:00 AM,2
ACT,2009,3:00:00 AM,1
ACT,2009,5:00:00 AM,1
ACT,2009,7:00:00 AM,1
ACT,2009,9:00:00 AM,1
ACT,2009,1:00:00 PM,1
ACT,2009,4:00:00 PM,1
ACT,2009,5:00:00 PM,1
ACT,2009,6:00:00 PM,1
ACT,2009,7:00:00 PM,1
ACT,2009,8:00:00 PM,1
ACT,2010,12:00:00 AM,1
ACT,2010,4:00:00 AM,1
ACT,2010,8:00:00 AM,1
ACT,2010,9:00:00 AM,1
ACT,2010,10:00:00 AM,1
ACT,2010,11:00:00 AM,1
ACT,2010,12:00:00 PM,3
ACT,2010,3:00:00 PM,1
ACT,2010,4:00:00 PM,1
ACT,2010,8:00:00 PM,1
ACT,2010,9:00:00 PM,2
ACT,2010,10:00:00 PM,5
ACT,2011,2:00:00 AM,1
ACT,2011,8:00:00 AM,1
ACT,2011,10:00:00 AM,1
ACT,2011,4:00:00 PM,1
ACT,2011,8:00:00 PM,1
ACT,2011,9:00:00 PM,1
ACT,2012,1:00:00 AM,1
ACT,2012,7:00:00 AM,1
ACT,2012,10:00:00 AM,1
ACT,2012,11:00:00 AM,1
ACT,2012,2:00:00 PM,2
ACT,2012,4:00:00 PM,1
ACT,2012,5:00:00 PM,2
ACT,2012,6:00:00 PM,1
ACT,2012,7:00:00 PM,2
ACT,2013,1:00:00 AM,1
ACT,2013,3:00:00 AM,1
ACT,2013,10:00:00 AM,1
ACT,2013,2:00:00 PM,1
ACT,2013,5:00:00 PM,1
ACT,2013,11:00:00 PM,2
ACT,2014,1:00:00 AM,1
ACT,2014,2:00:00 AM,2
ACT,2014,3:00:00 AM,1
ACT,2014,1:00:00 PM,1
ACT,2014,4:00:00 PM,2
ACT,2014,5:00:00 PM,2
ACT,2014,6:00:00 PM,1
ACT,2015,5:00:00 AM,1
ACT,2015,6:00:00 AM,1
ACT,2015,8:00:00 AM,1
ACT,2015,11:00:00 AM,1
ACT,2015,12:00:00 PM,2
ACT,2015,1:00:00 PM,1
ACT,2015,4:00:00 PM,1
ACT,2015,5:00:00 PM,1
ACT,2015,6:00:00 PM,3
ACT,2015,7:00:00 PM,2
ACT,2015,8:00:00 PM,1
ACT,2016,3:00:00 AM,1
ACT,2016,6:00:00 AM,1
ACT,2016,7:00:00 AM,1
ACT,2016,9:00:00 AM,1
ACT,2016,12:00:00 PM,1
ACT,2016,3:00:00 PM,1
ACT,2016,5:00:00 PM,4
ACT,2017,6:00:00 AM,1
ACT,2017,12:00:00 PM,2
ACT,2017,4:00:00 PM,1
ACT,2017,10:00:00 PM,1
ACT,2018,9:00:00 AM,1
ACT,2018,10:00:00 AM,1
ACT,2018,11:00:00 AM,1
ACT,2018,5:00:00 PM,1
ACT,2018,6:00:00 PM,1
ACT,2018,7:00:00 PM,1
ACT,2018,8:00:00 PM,2
ACT,2018,10:00:00 PM,1
ACT,2019,4:00:00 AM,1
ACT,2019,6:00:00 AM,1
ACT,2019,10:00:00 AM,1
ACT,2019,12:00:00 PM,1
ACT,2019,2:00:00 PM,1
ACT,2019,8:00:00 PM,1
ACT,2020,2:00:00 AM,1
ACT,2020,8:00:00 AM,1
ACT,2020,12:00:00 PM,4
ACT,2020,3:00:00 PM,1
ACT,2021,1:00:00 AM,1
ACT,2021,11:00:00 AM,3
ACT,2021,12:00:00 PM,1
ACT,2021,1:00:00 PM,2
ACT,2021,5:00:00 PM,2
ACT,2021,9:00:00 PM,1
ACT,2021,10:00:00 PM,1
ACT,2022,4:00:00 AM,1
ACT,2022,6:00:00 AM,1
ACT,2022,11:00:00 AM,1
ACT,2022,1:00:00 PM,1
ACT,2022,5:00:00 PM,1
ACT,2022,6:00:00 PM,1
ACT,2022,8:00:00 PM,1
ACT,2022,9:00:00 PM,1
ACT,2022,10:00:00 PM,1
ACT,2022,11:00:00 PM,2
NSW,1989,12:00:00 AM,26
NSW,1989,1:00:00 AM,41
NSW,1989,2:00:00 AM,31
NSW,1989,3:00:00 AM,36
NSW,1989,4:00:00 AM,85
NSW,1989,5:00:00 AM,17
NSW,1989,6:00:00 AM,31
NSW,1989,7:00:00 AM,29
NSW,1989,8:00:00 AM,35
NSW,1989,9:00:00 AM,32
NSW,1989,10:00:00 AM,34
NSW,1989,11:00:00 AM,41
NSW,1989,12:00:00 PM,33
NSW,1989,1:00:00 PM,31
NSW,1989,2:00:00 PM,35
NSW,1989,3:00:00 PM,55
NSW,1989,4:00:00 PM,55
NSW,1989,5:00:00 PM,49
NSW,1989,6:00:00 PM,55
NSW,1989,7:00:00 PM,47
NSW,1989,8:00:00 PM,39
NSW,1989,9:00:00 PM,38
NSW,1989,10:00:00 PM,36
NSW,1989,11:00:00 PM,48
NSW,1990,12:00:00 AM,35
NSW,1990,1:00:00 AM,43
NSW,1990,2:00:00 AM,23
NSW,1990,3:00:00 AM,21
NSW,1990,4:00:00 AM,27
NSW,1990,5:00:00 AM,15
NSW,1990,6:00:00 AM,18
NSW,1990,7:00:00 AM,26
NSW,1990,8:00:00 AM,26
NSW,1990,9:00:00 AM,22
NSW,1990,10:00:00 AM,31
NSW,1990,11:00:00 AM,31
NSW,1990,12:00:00 PM,27
NSW,1990,1:00:00 PM,26
NSW,1990,2:00:00 PM,35
NSW,1990,3:00:00 PM,64
NSW,1990,4:00:00 PM,49
NSW,1990,5:00:00 PM,43
NSW,1990,6:00:00 PM,70
NSW,1990,7:00:00 PM,40
NSW,1990,8:00:00 PM,29
NSW,1990,9:00:00 PM,33
NSW,1990,10:00:00 PM,30
NSW,1990,11:00:00 PM,33
NSW,1991,12:00:00 AM,29
NSW,1991,1:00:00 AM,29
NSW,1991,2:00:00 AM,9
NSW,1991,3:00:00 AM,25
NSW,1991,4:00:00 AM,14
NSW,1991,5:00:00 AM,10
NSW,1991,6:00:00 AM,15
NSW,1991,7:00:00 AM,22
NSW,1991,8:00:00 AM,15
NSW,1991,9:00:00 AM,21
NSW,1991,10:00:00 AM,33
NSW,1991,11:00:00 AM,21
NSW,1991,12:00:00 PM,37
NSW,1991,1:00:00 PM,30
NSW,1991,2:00:00 PM,27
NSW,1991,3:00:00 PM,47
NSW,1991,4:00:00 PM,44
NSW,1991,5:00:00 PM,43
NSW,1991,6:00:00 PM,46
NSW,1991,7:00:00 PM,37
NSW,1991,8:00:00 PM,27
NSW,1991,9:00:00 PM,31
NSW,1991,10:00:00 PM,16
NSW,1991,11:00:00 PM,35
NSW,1992,12:00:00 AM,28
NSW,1992,1:00:00 AM,21
NSW,1992,2:00:00 AM,19
NSW,1992,3:00:00 AM,17
NSW,1992,4:00:00 AM,13
NSW,1992,5:00:00 AM,13
NSW,1992,6:00:00 AM,10
NSW,1992,7:00:00 AM,25
NSW,1992,8:00:00 AM,21
