State,Month,Year,Dayweek,Time,Crash Type,Number Fatalities
WA,7,2022,Tuesday,11:00,Single,1
Qld,7,2022,Wednesday,1:00,Single,1
SA,7,2022,Saturday,3:00,Single,1
WA,7,2022,Friday,6:00,Single,1
WA,7,2022,Sunday,15:00,Single,1
Vic,7,2022,Wednesday,14:00,Single,1
Vic,7,2022,Tuesday,10:00,Multiple,1
WA,7,2022,Monday,22:00,Multiple,1
WA,7,2022,Saturday,23:00,Single,1
NT,7,2022,Sunday,22:00,Single,1
NSW,7,2022,Saturday,1:00,Single,1
NSW,7,2022,Saturday,12:00,Single,1
Vic,7,2022,Tuesday,10:00,Multiple,1
Vic,7,2022,Saturday,1:00,Single,1
Vic,7,2022,Friday,15:00,Multiple,1
Vic,7,2022,Sunday,7:00,Single,1
Vic,7,2022,Friday,23:00,Single,1
Vic,7,2022,Sunday,4:00,Single,1
Qld,7,2022,Thursday,14:00,Multiple,1
Qld,7,2022,Friday,4:00,Single,1
Qld,7,2022,Wednesday,20:00,Single,1
SA,7,2022,Monday,6:00,Single,1
SA,7,2022,Friday,12:00,Multiple,1
WA,7,2022,Tuesday,9:00,Single,1
Tas,7,2022,Wednesday,10:00,Single,1
Tas,7,2022,Thursday,16:00,Single,1
Tas,7,2022,Friday,14:00,Multiple,1
Qld,7,2022,Thursday,19:00,Single,1
Qld,7,2022,Sunday,17:00,Multiple,1
Qld,7,2022,Friday,11:00,Multiple,1
Qld,7,2022,Wednesday,13:00,Single,1
Qld,7,2022,Friday,15:00,Multiple,1
Qld,7,2022,Tuesday,13:00,Single,1
WA,7,2022,Saturday,16:00,Single,1
Tas,7,2022,Wednesday,12:00,Single,1
WA,6,2022,Friday,18:00,Single,1
WA,6,2022,Saturday,13:00,Single,2
NSW,6,2022,Wednesday,12:00,Multiple,2
NSW,6,2022,Tuesday,6:00,Multiple,1
NSW,6,2022,Friday,10:00,Single,1
Vic,6,2022,Tuesday,20:00,Single,1
Vic,6,2022,Wednesday,15:00,Single,1
Qld,6,2022,Monday,16:00,Single,1
WA,6,2022,Thursday,15:00,Single,1
NSW,6,2022,Saturday,15:00,Single,1
NSW,6,2022,Monday,13:00,Single,1
NSW,6,2022,Saturday,0:00,Multiple,1
Vic,6,2022,Sunday,1:00,Multiple,1
Vic,6,2022,Monday,16:00,Multiple,1
Vic,6,2022,Friday,8:00,Multiple,1
Qld,6,2022,Tuesday,4:00,Multiple,1
Qld,6,2022,Thursday,21:00,Single,1
Qld,6,2022,Saturday,0:00,Single,1
Qld,6,2022,Monday,23:00,Single,1
SA,6,2022,Thursday,17:00,Single,1
NSW,6,2022,Sunday,13:00,Single,1
NSW,6,2022,Saturday,13:00,Single,1
NSW,6,2022,Friday,21:00,Single,1
NSW,6,2022,Monday,10:00,Single,1
Vic,6,2022,Thursday,18:00,Single,1
Vic,6,2022,Thursday,0:00,Multiple,1
Qld,6,2022,Wednesday,23:00,Single,1
Qld,6,2022,Thursday,10:00,Single,1
Qld,6,2022,Monday,9:00,Single,1
Qld,6,2022,Thursday,12:00,Single,1
Qld,6,2022,Friday,14:00,Multiple,1
Qld,6,2022,Thursday,6:00,Multiple,1
WA,6,2022,Wednesday,11:00,Single,3
NT,6,2022,Sunday,15:00,Single,1
NSW,6,2022,Wednesday,17:00,Multiple,3
Vic,6,2022,Wednesday,22:00,Single,1
Qld,6,2022,Wednesday,14:00,Multiple,1
Qld,6,2022,Saturday,19:00,Single,1
SA,6,2022,Monday,22:00,Multiple,1
SA,6,2022,Sunday,2:00,Single,1
WA,6,2022,Friday,15:00,Multiple,1
NT,6,2022,Saturday,0:00,Single,1
NSW,6,2022,Tuesday,14:00,Single,1
Vic,6,2022,Tuesday,2:00,Single,1
Vic,6,2022,Thursday,8:00,Multiple,1
Vic,6,2022,Friday,22:00,Single,1
Vic,6,2022,Wednesday,13:00,Single,1
WA,6,2022,Saturday,14:00,Single,1
WA,6,2022,Saturday,16:00,Single,1
Qld,6,2022,Tuesday,15:00,Multiple,1
WA,6,2022,Saturday,14:00,Single,1
SA,6,2022,Tuesday,20:00,Single,1
ACT,6,2022,Saturday,22:00,Single,1
NSW,6,2022,Thursday,11:00,Multiple,1
NSW,6,2022,Sunday,10:00,Single,1
Vic,6,2022,Friday,14:00,Multiple,1
Vic,6,2022,Thursday,3:00,Single,1
Vic,6,2022,Sunday,16:00,Single,1
Vic,6,2022,Thursday,9:00,Multiple,1
Vic,6,2022,Monday,10:00,Single,1
Vic,6,2022,Saturday,23:00,Multiple,1
Vic,6,2022,Saturday,14:00,Multiple,1
Qld,6,2022,Thursday,15:00,Single,1
WA,6,2022,Thursday,17:00,Single,1
WA,6,2022,Friday,16:00,Single,1
WA,6,2022,Monday,8:00,Single,1
NT,6,2022,Monday,15:00,Single,1
NSW,6,2022,Saturday,7:00,Single,1
Vic,6,2022,Thursday,18:00,Single,1
Vic,6,2022,Monday,6:00,Single,1
Vic,6,2022,Sunday,18:00,Single,1
Qld,6,2022,Monday,10:00,Single,1
Qld,6,2022,Wednesday,12:00,Single,2
Qld,6,2022,Monday,8:00,Single,1
WA,6,2022,Friday,8:00,Single,1
NSW,6,2022,Friday,18:00,Multiple,1
NSW,6,2022,Thursday,14:00,Single,1
NSW,6,2022,Thursday,10:00,Single,1
Vic,6,2022,Wednesday,13:00,Single,1
Vic,6,2022,Thursday,9:00,Single,1
Vic,6,2022,Sunday,15:00,Multiple,1
Qld,6,2022,Monday,16:00,Single,1
Qld,6,2022,Friday,14:00,Single,1
Qld,6,2022,Sunday,15:00,Single,1
Qld,6,2022,Thursday,10:00,Single,1
SA,6,2022,Sunday,6:00,Single,1
Tas,6,2022,Tuesday,18:00,Multiple,2
Tas,6,2022,Monday,8:00,Single,1
NT,6,2022,Tuesday,19:00,Multiple,1
NT,6,2022,Friday,21:00,Single,1
WA,5,2022,Saturday,10:00,Single,1
WA,5,2022,Tuesday,8:00,Single,1
NSW,5,2022,Thursday,19:00,Multiple,1
NSW,5,2022,Wednesday,9:00,Single,1
NSW,5,2022,Monday,13:00,Single,1
Vic,5,2022,Monday,11:00,Multiple,1
Qld,5,2022,Wednesday,5:00,Multiple,1
Qld,5,2022,Friday,7:00,Multiple,1
SA,5,2022,Tuesday,17:00,Multiple,1
Tas,5,2022,Thursday,19:00,Multiple,1
NSW,5,2022,Saturday,20:00,Single,1
Vic,5,2022,Monday,4:00,Single,1
Vic,5,2022,Wednesday,17:00,Multiple,1
Vic,5,2022,Sunday,14:00,Single,1
Qld,5,2022,Saturday,18:00,Single,1
Qld,5,2022,Tuesday,12:00,Multiple,1
Tas,5,2022,Monday,10:00,Multiple,1
Tas,5,2022,Friday,14:00,Single,1
NSW,5,2022,Sunday,22:00,Single,1
Vic,5,2022,Monday,13:00,Multiple,1
Vic,5,2022,Monday,8:00,Single,1
Vic,5,2022,Tuesday,0:00,Multiple,1
Qld,5,2022,Tuesday,7:00,Multiple,1
Qld,5,2022,Sunday,5:00,Single,1
Qld,5,2022,Sunday,6:00,Multiple,2
WA,5,2022,Friday,7:00,Single,1
WA,5,2022,Friday,3:00,Single,1
WA,5,2022,Wednesday,2:00,Single,1
NT,5,2022,Monday,21:00,Single,1
ACT,5,2022,Thursday,22:00,Multiple,1
NSW,5,2022,Sunday,8:00,Single,1
NSW,5,2022,Wednesday,10:00,Single,1
NSW,5,2022,Sunday,14:00,Single,1
NSW,5,2022,Monday,12:00,Multiple,1
Vic,5,2022,Wednesday,12:00,Multiple,1
Qld,5,2022,Friday,18:00,Single,1
Qld,5,2022,Friday,16:00,Single,1
Qld,5,2022,Sunday,18:00,Single,1
SA,5,2022,Sunday,13:00,Single,2
WA,5,2022,Saturday,12:00,Single,1
Tas,5,2022,Monday,12:00,Single,1
NT,5,2022,Wednesday,22:00,Single,1
NT,5,2022,Monday,21:00,Single,1
NSW,5,2022,Monday,20:00,Multiple,1
NSW,5,2022,Sunday,15:00,Single,1
NSW,5,2022,Tuesday,7:00,Multiple,1
NSW,5,2022,Friday,12:00,Single,1
Qld,5,2022,Sunday,7:00,Single,1
Qld,5,2022,Saturday,18:00,Multiple,1
SA,5,2022,Wednesday,5:00,Single,1
Tas,5,2022,Thursday,21:00,Single,1
NT,5,2022,Tuesday,21:00,Single,1
NT,5,2022,Friday,7:00,Single,1
ACT,5,2022,Friday,17:00,Single,1
NSW,5,2022,Monday,12:00,Single,1
NSW,5,2022,Thursday,22:00,Single,1
NSW,5,2022,Wednesday,18:00,Single,1
NSW,5,2022,Wednesday,10:00,Single,1
Vic,5,2022,Saturday,16:00,Multiple,1
Vic,5,2022,Friday,7:00,Multiple,1
Vic,5,2022,Thursday,17:00,Single,1
Vic,5,2022,Thursday,19:00,Multiple,1
Qld,5,2022,Saturday,23:00,Single,1
Qld,5,2022,Friday,17:00,Single,1
Qld,5,2022,Monday,15:00,Single,1
Qld,5,2022,Friday,16:00,Multiple,1
SA,5,2022,Wednesday,11:00,Single,1
SA,5,2022,Saturday,16:00,Single,1
WA,5,2022,Sunday,13:00,Single,1
Tas,5,2022,Tuesday,16:00,Multiple,2
ACT,5,2022,Saturday,13:00,Single,1
Vic,5,2022,Tuesday,17:00,Multiple,1
Qld,5,2022,Saturday,16:00,Multiple,1
Qld,5,2022,Monday,14:00,Multiple,1
Qld,5,2022,Monday,22:00,Multiple,1
Qld,5,2022,Friday,17:00,Single,2
Qld,5,2022,Wednesday,3:00,Single,1
Qld,5,2022,Tuesday,23:00,Multiple,1
Qld,5,2022,Friday,6:00,Multiple,1
Qld,5,2022,Sunday,3:00,Single,1
WA,5,2022,Sunday,2:00,Single,1
WA,5,2022,Tuesday,6:00,Single,1
ACT,5,2022,Saturday,21:00,Single,1
NSW,5,2022,Wednesday,12:00,Multiple,1
NSW,5,2022,Tuesday,10:00,Single,1
NSW,5,2022,Sunday,0:00,Multiple,1
NSW,5,2022,Friday,12:00,Single,1
NSW,5,2022,Thursday,17:00,Multiple,1
Vic,5,2022,Monday,0:00,Single,1
Vic,5,2022,Saturday,21:00,Single,1
Vic,5,2022,Sunday,16:00,Single,1
Qld,5,2022,Thursday,19:00,Multiple,1
Qld,5,2022,Sunday,5:00,Multiple,1
Qld,5,2022,Thursday,15:00,Multiple,1
Qld,5,2022,Sunday,18:00,Multiple,1
Qld,5,2022,Thursday,16:00,Multiple,1
Qld,5,2022,Thursday,11:00,Multiple,1
Qld,5,2022,Sunday,11:00,Single,1
Qld,5,2022,Tuesday,17:00,Single,1
Qld,5,2022,Friday,23:00,Single,1
WA,5,2022,Sunday,###############################################################################################################################################################################################################################################################,Single,1
Tas,5,2022,Friday,19:00,Single,1
WA,4,2022,Saturday,23:00,Single,1
WA,4,2022,Friday,15:00,Single,1
NSW,4,2022,Saturday,17:00,Multiple,1
NSW,4,2022,Saturday,18:00,Single,1
NSW,4,2022,Monday,8:00,Single,1
NSW,4,2022,Thursday,3:00,Single,2
NSW,4,2022,Tuesday,12:00,Multiple,1
Vic,4,2022,Wednesday,9:00,Multiple,1
Vic,4,2022,Monday,19:00,Single,1
Vic,4,2022,Friday,21:00,Multiple,2
SA,4,2022,Friday,20:00,Single,1
WA,4,2022,Tuesday,6:00,Single,1
NSW,4,2022,Monday,4:00,Single,1
NSW,4,2022,Saturday,11:00,Single,1
Vic,4,2022,Friday,15:00,Single,1
Qld,4,2022,Saturday,11:00,Single,1
SA,4,2022,Thursday,20:00,Multiple,1
WA,4,2022,Sunday,18:00,Single,1
NSW,4,2022,Monday,14:00,Multiple,1
NSW,4,2022,Tuesday,21:00,Single,1
Vic,4,2022,Monday,5:00,Multiple,1
Vic,4,2022,Friday,12:00,Single,1
Vic,4,2022,Saturday,17:00,Multiple,1
Qld,4,2022,Friday,0:00,Single,1
Qld,4,2022,Friday,12:00,Multiple,1
Qld,4,2022,Sunday,8:00,Single,1
WA,4,2022,Saturday,9:00,Single,1
WA,4,2022,Thursday,20:00,Single,1
Tas,4,2022,Thursday,17:00,Single,1
Tas,4,2022,Thursday,18:00,Multiple,1
Tas,4,2022,Monday,6:00,Single,1
NT,4,2022,Saturday,22:00,Single,1
ACT,4,2022,Sunday,6:00,Single,1
NSW,4,2022,Thursday,18:00,Multiple,1
NSW,4,2022,Tuesday,16:00,Single,1
NSW,4,2022,Saturday,6:00,Multiple,1
Qld,4,2022,Sunday,13:00,Multiple,1
SA,4,2022,Friday,12:00,Multiple,1
WA,4,2022,Tuesday,5:00,Single,1
Tas,4,2022,Saturday,16:00,Single,1
NT,4,2022,Thursday,21:00,Single,1
NSW,4,2022,Tuesday,20:00,Multiple,1
NSW,4,2022,Saturday,9:00,Multiple,1
NSW,4,2022,Monday,23:00,Single,1
NSW,4,2022,Friday,1:00,Single,1
NSW,4,2022,Saturday,13:00,Single,1
NSW,4,2022,Thursday,14:00,Single,1
Vic,4,2022,Sunday,9:00,Single,1
Qld,4,2022,Monday,10:00,Multiple,2
Qld,4,2022,Wednesday,17:00,Multiple,4
Qld,4,2022,Saturday,2:00,Single,1
Qld,4,2022,Sunday,15:00,Multiple,2
WA,4,2022,Tuesday,17:00,Single,1
SA,4,2022,Saturday,16:00,Multiple,1
NT,4,2022,Friday,4:00,Single,1
NSW,4,2022,Sunday,4:00,Single,1
NSW,4,2022,Friday,6:00,Single,1
NSW,4,2022,Saturday,8:00,Multiple,1
Vic,4,2022,Tuesday,19:00,Single,1
SA,4,2022,Tuesday,15:00,Single,1
SA,4,2022,Thursday,4:00,Single,1
SA,4,2022,Tuesday,8:00,Single,1
WA,4,2022,Monday,1:00,Single,1
WA,4,2022,Wednesday,0:00,Single,1
WA,4,2022,Thursday,5:00,Single,1
Tas,4,2022,Thursday,16:00,Single,1
NSW,4,2022,Saturday,5:00,Multiple,1
NSW,4,2022,Friday,20:00,Single,1
Vic,4,2022,Tuesday,11:00,Single,1
Vic,4,2022,Sunday,9:00,Single,1
Vic,4,2022,Thursday,12:00,Single,1
Vic,4,2022,Tuesday,13:00,Multiple,1
Vic,4,2022,Sunday,1:00,Single,1
Vic,4,2022,Sunday,19:00,Multiple,1
Vic,4,2022,Thursday,23:00,Single,1
Qld,4,2022,Sunday,19:00,Single,1
Qld,4,2022,Sunday,19:00,Single,1
Qld,4,2022,Thursday,15:00,Single,2
SA,4,2022,Wednesday,19:00,Single,1
SA,4,2022,Sunday,15:00,Single,1
WA,4,2022,Wednesday,17:00,Single,1
NT,4,2022,Sunday,6:00,Single,1
ACT,4,2022,Friday,4:00,Single,1
NSW,4,2022,Friday,11:00,Single,1
NSW,4,2022,Thursday,9:00,Multiple,2
Vic,4,2022,Monday,4:00,Single,1
Vic,4,2022,Sunday,16:00,Single,1
WA,4,2022,Saturday,18:00,Single,1
