LGA,Num_Fatalities
Port Macquarie-Hastings,38
Port Phillip,11
Port Pirie City and Dists,19
Port Stephens,45
Prospect,4
Pyrenees,19
Quairading,5
Queanbeyan-Palerang Regional,20
Quilpie,2
Randwick,15
Ravensthorpe,2
Redland,16
Renmark Paringa,7
Richmond Valley,25
Robe,3
Rockhampton,22
Rockingham,30
Roper Gulf,30
Ryde,15
Salisbury,40
Sandstone,2
Scenic Rim,33
Serpentine-Jarrahdale,25
Shark Bay,1
Shellharbour,10
Shoalhaven,62
Singleton,38
Snowy Monaro Regional,33
Snowy Valleys,21
Somerset,30
Sorell,10
South Burnett,30
South Gippsland,35
South Perth,3
Southern Downs,17
Southern Grampians,11
Southern Mallee,2
Southern Midlands,11
Stirling,33
Stonnington,11
Strathbogie,18
Strathfield,8
Streaky Bay,5
Subiaco,1
Sunshine Coast,66
Surf Coast,14
Sutherland,38
Swan,37
Swan Hill,14
Sydney,39
Tablelands,14
Tamworth Regional,43
Tasman,3
Tatiara,14
Tea Tree Gully,14
Temora,7
Tenterfield,9
The Coorong,19
The Hills,26
Toodyay,12
Toowoomba,55
Townsville,53
Towong,11
Trayning,1
Tumby Bay,3
Tweed,42
Unincorporated,11
Unincorporated ACT,61
Unincorporated NT,23
Unincorporated SA,47
Unincorporated Vic,2
Unley,8
Upper Hunter,13
Upper Lachlan,17
Uralla,8
Victor Harbor,7
Victoria Daly,21
Victoria Park,4
Victoria Plains,9
Vincent,8
Wagait,1
Wagga Wagga,27
Wagin,4
Wakefield,23
Walcha,14
Walgett,6
Wandering,7
Wangaratta,23
Wanneroo,41
Waratah/Wynyard,15
Waroona,13
Warren,3
Warrnambool,12
Warrumbungle,23
Wattle Range,24
Waverley,9
Weddin,6
Weipa,1
Wellington,31
Wentworth,13
West Arnhem,21
West Arthur,5
West Coast,10
West Daly,2
West Tamar,15
West Torrens,17
West Wimmera,8
Western Downs,22
Westonia,3
Whitehorse,18
Whitsunday,24
Whittlesea,33
Whyalla,9
Wickepin,1
Williams,5
Willoughby,12
Wingecarribee,33
Wodonga,10
Wollondilly,37
Wollongong,47
Wongan-Ballidu,3
Woollahra,5
Wudinna,1
Wyndham,47
Wyndham-East Kimberley,13
Yankalilla,6
Yarra,12
Yarra Ranges,57
Yarrabah,2
Yarriambiack,5
Yass Valley,20
Yilgarn,4
York,5
Yorke Peninsula,15
