State,Year,Month,Fatalities,Day,Date
ACT,2005,Jul,6,7,2005-7-1
ACT,2005,Aug,1,8,2005-8-1
ACT,2005,Sep,3,9,2005-9-1
ACT,2005,Oct,2,10,2005-10-1
ACT,2005,Nov,2,11,2005-11-1
ACT,2005,Dec,1,12,2005-12-1
ACT,2006,Feb,2,2,2006-2-1
ACT,2006,May,1,5,2006-5-1
ACT,2006,Jun,1,6,2006-6-1
ACT,2006,Aug,2,8,2006-8-1
ACT,2006,Sep,1,9,2006-9-1
ACT,2006,Oct,2,10,2006-10-1
ACT,2006,Nov,1,11,2006-11-1
ACT,2006,Dec,3,12,2006-12-1
ACT,2007,Feb,1,2,2007-2-1
ACT,2007,Mar,1,3,2007-3-1
ACT,2007,Apr,3,4,2007-4-1
ACT,2007,May,1,5,2007-5-1
ACT,2007,Jun,2,6,2007-6-1
ACT,2007,Jul,1,7,2007-7-1
ACT,2007,Aug,2,8,2007-8-1
ACT,2007,Oct,1,10,2007-10-1
ACT,2007,Nov,1,11,2007-11-1
ACT,2007,Dec,1,12,2007-12-1
ACT,2008,Jan,1,1,2008-1-1
ACT,2008,Feb,1,2,2008-2-1
ACT,2008,Apr,1,4,2008-4-1
ACT,2008,May,2,5,2008-5-1
ACT,2008,Jun,3,6,2008-6-1
ACT,2008,Jul,1,7,2008-7-1
ACT,2008,Aug,3,8,2008-8-1
ACT,2008,Sep,1,9,2008-9-1
ACT,2008,Dec,1,12,2008-12-1
ACT,2009,Mar,3,3,2009-3-1
ACT,2009,Apr,1,4,2009-4-1
ACT,2009,May,1,5,2009-5-1
ACT,2009,Jun,2,6,2009-6-1
ACT,2009,Jul,1,7,2009-7-1
ACT,2009,Sep,2,9,2009-9-1
ACT,2009,Oct,2,10,2009-10-1
ACT,2010,Jan,1,1,2010-1-1
ACT,2010,Feb,2,2,2010-2-1
ACT,2010,Mar,5,3,2010-3-1
ACT,2010,Apr,3,4,2010-4-1
ACT,2010,May,3,5,2010-5-1
ACT,2010,Jun,1,6,2010-6-1
ACT,2010,Jul,2,7,2010-7-1
ACT,2010,Sep,1,9,2010-9-1
ACT,2010,Dec,1,12,2010-12-1
ACT,2011,Jan,2,1,2011-1-1
ACT,2011,Mar,4,3,2011-3-1
ACT,2012,Apr,1,4,2012-4-1
ACT,2012,May,2,5,2012-5-1
ACT,2012,Jun,2,6,2012-6-1
ACT,2012,Jul,1,7,2012-7-1
ACT,2012,Sep,2,9,2012-9-1
ACT,2012,Oct,1,10,2012-10-1
ACT,2012,Nov,2,11,2012-11-1
ACT,2012,Dec,1,12,2012-12-1
ACT,2013,Jan,1,1,2013-1-1
ACT,2013,Mar,3,3,2013-3-1
ACT,2013,Aug,1,8,2013-8-1
ACT,2013,Sep,1,9,2013-9-1
ACT,2013,Dec,1,12,2013-12-1
ACT,2014,Feb,2,2,2014-2-1
ACT,2014,Mar,2,3,2014-3-1
ACT,2014,Jun,1,6,2014-6-1
ACT,2014,Aug,1,8,2014-8-1
ACT,2014,Sep,2,9,2014-9-1
ACT,2014,Nov,1,11,2014-11-1
ACT,2014,Dec,1,12,2014-12-1
ACT,2015,Jan,1,1,2015-1-1
ACT,2015,Apr,1,4,2015-4-1
ACT,2015,May,2,5,2015-5-1
ACT,2015,Jun,2,6,2015-6-1
ACT,2015,Jul,2,7,2015-7-1
ACT,2015,Sep,2,9,2015-9-1
ACT,2015,Nov,1,11,2015-11-1
ACT,2015,Dec,4,12,2015-12-1
ACT,2016,Mar,1,3,2016-3-1
ACT,2016,May,2,5,2016-5-1
ACT,2016,Jul,2,7,2016-7-1
ACT,2016,Sep,2,9,2016-9-1
ACT,2016,Oct,2,10,2016-10-1
ACT,2016,Nov,1,11,2016-11-1
ACT,2017,Jan,1,1,2017-1-1
ACT,2017,Feb,1,2,2017-2-1
ACT,2017,Mar,1,3,2017-3-1
ACT,2017,May,1,5,2017-5-1
ACT,2017,Nov,1,11,2017-11-1
ACT,2018,Jan,1,1,2018-1-1
ACT,2018,Feb,2,2,2018-2-1
ACT,2018,Apr,1,4,2018-4-1
ACT,2018,May,2,5,2018-5-1
ACT,2018,Jul,1,7,2018-7-1
ACT,2018,Sep,1,9,2018-9-1
ACT,2018,Oct,1,10,2018-10-1
ACT,2019,Jan,1,1,2019-1-1
ACT,2019,Jun,2,6,2019-6-1
ACT,2019,Sep,1,9,2019-9-1
ACT,2019,Oct,1,10,2019-10-1
ACT,2019,Dec,1,12,2019-12-1
ACT,2020,Apr,2,4,2020-4-1
ACT,2020,Jul,1,7,2020-7-1
ACT,2020,Sep,2,9,2020-9-1
ACT,2020,Oct,1,10,2020-10-1
ACT,2020,Dec,1,12,2020-12-1
ACT,2021,Jan,1,1,2021-1-1
ACT,2021,Feb,2,2,2021-2-1
ACT,2021,Mar,1,3,2021-3-1
ACT,2021,Apr,1,4,2021-4-1
ACT,2021,Jun,1,6,2021-6-1
ACT,2021,Jul,1,7,2021-7-1
ACT,2021,Aug,1,8,2021-8-1
ACT,2021,Sep,1,9,2021-9-1
ACT,2021,Dec,2,12,2021-12-1
ACT,2022,Jan,2,1,2022-1-1
ACT,2022,Feb,1,2,2022-2-1
ACT,2022,Apr,2,4,2022-4-1
ACT,2022,May,4,5,2022-5-1
ACT,2022,Jun,1,6,2022-6-1
ACT,2022,Aug,1,8,2022-8-1
NSW,1989,Jan,55,1,1989-1-1
NSW,1989,Feb,82,2,1989-2-1
NSW,1989,Mar,82,3,1989-3-1
NSW,1989,Apr,45,4,1989-4-1
NSW,1989,May,77,5,1989-5-1
NSW,1989,Jun,97,6,1989-6-1
NSW,1989,Jul,75,7,1989-7-1
NSW,1989,Aug,64,8,1989-8-1
NSW,1989,Sep,93,9,1989-9-1
NSW,1989,Oct,96,10,1989-10-1
NSW,1989,Nov,69,11,1989-11-1
NSW,1989,Dec,124,12,1989-12-1
NSW,1990,Jan,52,1,1990-1-1
NSW,1990,Feb,52,2,1990-2-1
NSW,1990,Mar,87,3,1990-3-1
NSW,1990,Apr,57,4,1990-4-1
NSW,1990,May,59,5,1990-5-1
NSW,1990,Jun,70,6,1990-6-1
NSW,1990,Jul,83,7,1990-7-1
NSW,1990,Aug,66,8,1990-8-1
NSW,1990,Sep,80,9,1990-9-1
NSW,1990,Oct,62,10,1990-10-1
NSW,1990,Nov,55,11,1990-11-1
NSW,1990,Dec,74,12,1990-12-1
NSW,1991,Jan,61,1,1991-1-1
NSW,1991,Feb,47,2,1991-2-1
NSW,1991,Mar,52,3,1991-3-1
NSW,1991,Apr,59,4,1991-4-1
NSW,1991,May,55,5,1991-5-1
NSW,1991,Jun,52,6,1991-6-1
NSW,1991,Jul,61,7,1991-7-1
NSW,1991,Aug,55,8,1991-8-1
NSW,1991,Sep,59,9,1991-9-1
NSW,1991,Oct,57,10,1991-10-1
NSW,1991,Nov,49,11,1991-11-1
NSW,1991,Dec,56,12,1991-12-1
