State,Year,Day,num_fatalities_heatmap,Time,,
ACT,1999,Saturday,1,18,,
ACT,1999,Saturday,1,22,,
ACT,1999,Sunday,1,22,,
ACT,2000,Monday,1,9,,
ACT,2000,Monday,1,13,,
ACT,2000,Monday,1,14,,
ACT,2000,Tuesday,1,0,,
ACT,2000,Thursday,1,1,,
ACT,2000,Thursday,1,12,,
ACT,2000,Thursday,1,13,,
ACT,2000,Thursday,1,17,,
ACT,2000,Friday,1,5,,
ACT,2000,Friday,1,23,,
ACT,2000,Saturday,1,1,,
ACT,2000,Saturday,4,2,,
ACT,2000,Sunday,1,3,,
ACT,2000,Sunday,1,9,,
ACT,2000,Sunday,1,19,,
ACT,2001,Monday,1,13,,
ACT,2001,Monday,1,19,,
ACT,2001,Tuesday,1,2,,
ACT,2001,Tuesday,1,16,,
ACT,2001,Wednesday,2,1,,
ACT,2001,Thursday,1,9,,
ACT,2001,Thursday,1,23,,
ACT,2001,Friday,1,1,,
ACT,2001,Friday,1,17,,
ACT,2001,Friday,1,18,,
ACT,2001,Friday,1,19,,
ACT,2001,Friday,1,20,,
ACT,2001,Saturday,1,1,,
ACT,2001,Saturday,1,20,,
ACT,2001,Sunday,1,11,,
ACT,2002,Monday,1,10,,
ACT,2002,Wednesday,1,12,,
ACT,2002,Thursday,1,12,,
ACT,2002,Thursday,1,17,,
ACT,2002,Friday,1,14,,
ACT,2002,Friday,1,15,,
ACT,2002,Saturday,3,16,,
ACT,2002,Sunday,1,16,,
ACT,2003,Monday,3,17,,
ACT,2003,Tuesday,1,15,,
ACT,2003,Tuesday,1,19,,
ACT,2003,Wednesday,1,16,,
ACT,2003,Thursday,1,11,,
ACT,2003,Friday,1,0,,
ACT,2003,Saturday,2,4,,
ACT,2003,Sunday,1,3,,
ACT,2004,Monday,1,19,,
ACT,2004,Wednesday,1,18,,
ACT,2004,Wednesday,1,19,,
ACT,2004,Friday,1,18,,
ACT,2004,Saturday,1,3,,
ACT,2004,Saturday,1,12,,
ACT,2004,Saturday,1,22,,
ACT,2004,Sunday,1,4,,
ACT,2004,Sunday,1,13,,
ACT,2005,Monday,1,19,,
ACT,2005,Tuesday,1,9,,
ACT,2005,Tuesday,1,12,,
ACT,2005,Tuesday,1,15,,
ACT,2005,Tuesday,1,18,,
ACT,2005,Wednesday,1,9,,
ACT,2005,Wednesday,1,13,,
ACT,2005,Wednesday,1,22,,
ACT,2005,Thursday,1,13,,
ACT,2005,Thursday,1,19,,
ACT,2005,Friday,2,0,,
ACT,2005,Friday,1,7,,
ACT,2005,Friday,1,15,,
ACT,2005,Friday,1,19,,
ACT,2005,Saturday,1,0,,
ACT,2005,Saturday,1,14,,
ACT,2005,Saturday,1,20,,
ACT,2005,Sunday,1,0,,
ACT,2005,Sunday,1,2,,
ACT,2005,Sunday,2,7,,
ACT,2005,Sunday,1,15,,
ACT,2005,Sunday,2,16,,
ACT,2005,Sunday,1,18,,
ACT,2006,Monday,1,11,,
ACT,2006,Tuesday,1,8,,
ACT,2006,Tuesday,1,11,,
ACT,2006,Wednesday,2,2,,
ACT,2006,Thursday,1,14,,
ACT,2006,Thursday,1,16,,
ACT,2006,Friday,1,10,,
ACT,2006,Friday,1,11,,
ACT,2006,Friday,1,18,,
ACT,2006,Saturday,1,21,,
ACT,2006,Sunday,1,11,,
ACT,2006,Sunday,1,17,,
ACT,2007,Monday,1,9,,
ACT,2007,Tuesday,1,1,,
ACT,2007,Tuesday,1,8,,
ACT,2007,Tuesday,1,19,,
ACT,2007,Thursday,2,11,,
ACT,2007,Friday,1,3,,
ACT,2007,Friday,1,12,,
ACT,2007,Friday,1,18,,
ACT,2007,Friday,1,21,,
ACT,2007,Sunday,1,3,,
ACT,2007,Sunday,1,16,,
ACT,2007,Sunday,2,19,,
ACT,2008,Monday,1,4,,
ACT,2008,Monday,1,12,,
ACT,2008,Monday,1,18,,
ACT,2008,Tuesday,1,23,,
ACT,2008,Wednesday,1,16,,
ACT,2008,Wednesday,1,18,,
ACT,2008,Thursday,1,11,,
ACT,2008,Thursday,1,15,,
ACT,2008,Thursday,1,16,,
ACT,2008,Friday,2,3,,
ACT,2008,Saturday,1,1,,
ACT,2008,Saturday,1,7,,
ACT,2008,Sunday,1,20,,
ACT,2009,Monday,1,16,,
ACT,2009,Tuesday,1,17,,
ACT,2009,Tuesday,1,18,,
ACT,2009,Thursday,1,20,,
ACT,2009,Friday,1,5,,
ACT,2009,Friday,1,9,,
ACT,2009,Saturday,1,7,,
ACT,2009,Sunday,2,1,,
ACT,2009,Sunday,1,3,,
ACT,2009,Sunday,1,13,,
ACT,2009,Sunday,1,19,,
ACT,2010,Tuesday,1,11,,
ACT,2010,Tuesday,1,16,,
ACT,2010,Tuesday,1,22,,
ACT,2010,Wednesday,1,21,,
ACT,2010,Thursday,1,4,,
ACT,2010,Friday,1,8,,
ACT,2010,Friday,2,12,,
ACT,2010,Saturday,1,0,,
ACT,2010,Saturday,1,9,,
ACT,2010,Saturday,1,10,,
ACT,2010,Saturday,1,15,,
ACT,2010,Saturday,1,21,,
ACT,2010,Saturday,4,22,,
ACT,2010,Sunday,1,12,,
ACT,2010,Sunday,1,20,,
ACT,2011,Monday,1,8,,
ACT,2011,Tuesday,1,10,,
ACT,2011,Thursday,1,2,,
ACT,2011,Saturday,1,16,,
ACT,2011,Saturday,1,20,,
ACT,2011,Saturday,1,21,,
ACT,2012,Tuesday,1,11,,
ACT,2012,Tuesday,1,19,,
ACT,2012,Thursday,1,1,,
ACT,2012,Thursday,1,14,,
ACT,2012,Thursday,1,17,,
ACT,2012,Thursday,1,19,,
ACT,2012,Friday,1,10,,
ACT,2012,Friday,1,16,,
ACT,2012,Saturday,1,7,,
ACT,2012,Saturday,1,17,,
ACT,2012,Saturday,1,18,,
ACT,2012,Sunday,1,14,,
ACT,2013,Tuesday,1,14,,
ACT,2013,Wednesday,1,10,,
ACT,2013,Wednesday,1,23,,
ACT,2013,Friday,1,17,,
ACT,2013,Friday,1,23,,
ACT,2013,Saturday,1,3,,
ACT,2013,Sunday,1,1,,
ACT,2014,Monday,1,1,,
ACT,2014,Monday,1,13,,
ACT,2014,Tuesday,1,18,,
ACT,2014,Wednesday,2,16,,
ACT,2014,Wednesday,1,17,,
ACT,2014,Saturday,2,2,,
ACT,2014,Saturday,1,3,,
ACT,2014,Sunday,1,17,,
ACT,2015,Monday,1,16,,
ACT,2015,Tuesday,1,18,,
ACT,2015,Wednesday,1,13,,
ACT,2015,Wednesday,2,19,,
ACT,2015,Thursday,1,5,,
ACT,2015,Thursday,1,6,,
ACT,2015,Thursday,1,8,,
ACT,2015,Thursday,2,12,,
ACT,2015,Friday,1,11,,
ACT,2015,Friday,1,18,,
ACT,2015,Saturday,1,17,,
ACT,2015,Saturday,1,20,,
ACT,2015,Sunday,1,18,,
ACT,2016,Monday,1,3,,
ACT,2016,Wednesday,1,7,,
ACT,2016,Wednesday,2,17,,
ACT,2016,Thursday,1,17,,
ACT,2016,Friday,1,9,,
ACT,2016,Saturday,1,6,,
ACT,2016,Saturday,1,15,,
ACT,2016,Sunday,1,12,,
ACT,2016,Sunday,1,17,,
ACT,2017,Monday,1,12,,
ACT,2017,Wednesday,1,12,,
ACT,2017,Wednesday,1,22,,
ACT,2017,Thursday,1,16,,
ACT,2017,Friday,1,6,,
ACT,2018,Monday,1,11,,
ACT,2018,Tuesday,1,18,,
ACT,2018,Thursday,1,17,,
ACT,2018,Friday,1,19,,
ACT,2018,Friday,1,20,,
ACT,2018,Saturday,1,9,,
ACT,2018,Saturday,1,10,,
ACT,2018,Saturday,1,22,,
ACT,2018,Sunday,1,20,,
ACT,2019,Monday,1,12,,
ACT,2019,Monday,1,14,,
ACT,2019,Tuesday,1,10,,
ACT,2019,Wednesday,1,4,,
ACT,2019,Friday,1,20,,
ACT,2019,Saturday,1,6,,
ACT,2020,Monday,1,15,,
ACT,2020,Tuesday,1,8,,
ACT,2020,Saturday,1,2,,
ACT,2020,Saturday,2,12,,
ACT,2020,Sunday,2,12,,
ACT,2021,Monday,1,1,,
ACT,2021,Monday,1,12,,
ACT,2021,Monday,1,17,,
ACT,2021,Tuesday,1,11,,
ACT,2021,Tuesday,1,22,,
ACT,2021,Wednesday,2,11,,
ACT,2021,Thursday,1,13,,
ACT,2021,Thursday,1,21,,
ACT,2021,Friday,1,17,,
ACT,2021,Sunday,1,13,,
ACT,2022,Monday,1,11,,
ACT,2022,Monday,1,18,,
ACT,2022,Wednesday,1,20,,
